
Host: UIO-5CG2126K37

Timers On : Fri Nov 22 13:31:19 2024
Timers Off: Fri Nov 22 13:32:55 2024

Wall Time:       96.14 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
SAD Guess                           :      3.900u      1.200s     10.135w    118 calls
HF: Form G                          :     34.133u      0.117s     20.675w   1798 calls
JK: D                               :      0.000u      0.033s      0.012w   1798 calls
JK: USO2AO                          :      0.000u      0.017s      0.005w   1798 calls
JK: JK                              :     34.133u      0.050s     20.597w   1798 calls
DFH: compute_JK()                   :      1.350u      0.000s      0.788w   1163 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.002w   1163 calls
DFH: compute_J                      :      0.400u      0.000s      0.145w   1163 calls
DFH: compute_K                      :      0.917u      0.000s      0.578w   1163 calls
build_JK_matrices()                 :     30.833u      0.050s     18.634w    635 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.000u      0.000s      0.014w   1798 calls
HF: Form D                          :      0.000u      0.000s      0.009w   1798 calls
HF: DIIS                            :      4.933u      0.000s      2.857w   1680 calls
HF: Form C                          :      0.817u      0.000s      0.412w   1680 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.383u      0.000s      0.243w    118 calls
| Libint2ERI::Libint2ERI            :      0.200u      0.000s      0.116w    118 calls
DFH: initialize()                   :      6.400u      0.517s      6.989w    118 calls
| Libint2ERI::Libint2ERI            :      0.267u      0.000s      0.140w    236 calls
| DFH: AO Construction              :      1.850u      0.083s      1.254w    118 calls
| DFH: AO-Met. Contraction          :      0.583u      0.000s      0.267w    118 calls
HF: Form core H                     :      0.233u      0.333s      0.787w    118 calls
HF: Form S/X                        :      0.000u      0.000s      0.028w    118 calls
HF: Guess                           :      4.033u      1.200s     10.242w    118 calls
| SAD Guess                         :      3.900u      1.200s     10.135w    118 calls
HF: Form G                          :     34.133u      0.117s     20.675w   1798 calls
| JK: D                             :      0.000u      0.033s      0.012w   1798 calls
| JK: USO2AO                        :      0.000u      0.017s      0.005w   1798 calls
| JK: JK                            :     34.133u      0.050s     20.597w   1798 calls
| | DFH: compute_JK()               :      1.350u      0.000s      0.788w   1163 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.002w   1163 calls
| | | DFH: compute_J                :      0.400u      0.000s      0.145w   1163 calls
| | | DFH: compute_K                :      0.917u      0.000s      0.578w   1163 calls
| | Libint2ERI::Libint2ERI          :      0.950u      0.000s      0.595w    635 calls
| | build_JK_matrices()             :     30.833u      0.050s     18.634w    635 calls
| JK: AO2USO                        :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.000u      0.000s      0.014w   1798 calls
HF: Form D                          :      0.000u      0.000s      0.009w   1798 calls
HF: DIIS                            :      4.933u      0.000s      2.857w   1680 calls
HF: Form C                          :      0.817u      0.000s      0.412w   1680 calls

**************************************************************************************

Host: UIO-5CG2126K37

Timers On : Tue Nov 26 16:50:48 2024
Timers Off: Tue Nov 26 16:52:22 2024

Wall Time:       94.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.250u      0.000s      0.257w    118 calls
Libint2ERI::Libint2ERI              :      1.350u      0.000s      0.939w    989 calls
DFH: initialize()                   :      7.333u      0.917s      7.378w    118 calls
DFH: AO Construction                :      2.817u      0.000s      1.540w    118 calls
DFH: AO-Met. Contraction            :      0.400u      0.000s      0.291w    118 calls
HF: Form core H                     :      0.083u      0.267s      0.829w    118 calls
HF: Form S/X                        :      0.000u      0.017s      0.035w    118 calls
HF: Guess                           :      5.950u      1.417s     11.980w    118 calls
SAD Guess                           :      5.733u      1.417s     11.802w    118 calls
HF: Form G                          :     35.967u      0.100s     21.997w   1798 calls
JK: D                               :      0.000u      0.000s      0.014w   1798 calls
JK: USO2AO                          :      0.000u      0.000s      0.005w   1798 calls
JK: JK                              :     35.833u      0.100s     21.911w   1798 calls
DFH: compute_JK()                   :      1.017u      0.100s      0.851w   1163 calls
DFH: Grabbing AOs                   :      0.000u      0.033s      0.002w   1163 calls
DFH: compute_J                      :      0.233u      0.000s      0.146w   1163 calls
DFH: compute_K                      :      0.733u      0.000s      0.637w   1163 calls
build_JK_matrices()                 :     32.733u      0.000s     19.743w    635 calls
JK: AO2USO                          :      0.000u      0.000s      0.003w   1798 calls
HF: Form F                          :      0.017u      0.000s      0.015w   1798 calls
HF: Form D                          :      0.000u      0.000s      0.010w   1798 calls
HF: DIIS                            :      5.033u      0.000s      2.995w   1680 calls
HF: Form C                          :      0.650u      0.000s      0.435w   1680 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.250u      0.000s      0.257w    118 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.121w    118 calls
DFH: initialize()                   :      7.333u      0.917s      7.378w    118 calls
| Libint2ERI::Libint2ERI            :      0.200u      0.000s      0.158w    236 calls
| DFH: AO Construction              :      2.817u      0.000s      1.540w    118 calls
| DFH: AO-Met. Contraction          :      0.400u      0.000s      0.291w    118 calls
HF: Form core H                     :      0.083u      0.267s      0.829w    118 calls
HF: Form S/X                        :      0.000u      0.017s      0.035w    118 calls
HF: Guess                           :      5.950u      1.417s     11.980w    118 calls
| SAD Guess                         :      5.733u      1.417s     11.802w    118 calls
HF: Form G                          :     35.967u      0.100s     21.997w   1798 calls
| JK: D                             :      0.000u      0.000s      0.014w   1798 calls
| JK: USO2AO                        :      0.000u      0.000s      0.005w   1798 calls
| JK: JK                            :     35.833u      0.100s     21.911w   1798 calls
| | DFH: compute_JK()               :      1.017u      0.100s      0.851w   1163 calls
| | | DFH: Grabbing AOs             :      0.000u      0.033s      0.002w   1163 calls
| | | DFH: compute_J                :      0.233u      0.000s      0.146w   1163 calls
| | | DFH: compute_K                :      0.733u      0.000s      0.637w   1163 calls
| | Libint2ERI::Libint2ERI          :      1.067u      0.000s      0.659w    635 calls
| | build_JK_matrices()             :     32.733u      0.000s     19.743w    635 calls
